# Summary:
# total steps taken: 108
# of which successful: 78
# of whichwkb: 17
# time, x, dx, wkb, Ai(-t)+i*Bi(-t)
8.8124678169845793718 (671.64426459382150369,-9477.8608848527001101) (-3159.8422551196381391,3455.8877149299305529) 0 (-0.19231052973622106417,0.26498795225371202244) (-0.79226490876541644237,-0.56351168350589797562)
8.959360584452188192 (293.61544170825249012,-9017.7570766078897577) (-2060.9029441731263432,2813.9030692272999659) 0 (-0.061522154294146709497,0.32021195782349759495) (-0.96038628879259713145,-0.17526552030535860749)
9.1078036964544164533 (46.043179521906722584,-8644.7147654206291918) (-1326.1560144308755298,2226.033702439449371) 0 (0.082363618326444357209,0.3141146428177947203) (-0.94590806729817300536,0.25722900373297791221)
9.2577174441612335443 (-113.94029708253077615,-8349.7775660350653197) (-843.19220933089980008,1725.0428172770148194) 0 (0.21100977942960222333,0.24509258856923457626) (-0.74018558791587663048,0.6487655917649984838)
9.408971292403300879 (-216.05125577746667886,-8120.9181832632593796) (-530.31628368125188899,1316.777200563624092) 0 (0.29695334219910918261,0.12478405191180488853) (-0.37495332913022877408,0.91435808900592552284)
9.5614020660602019319 (-280.47078377029072271,-7945.8446314130860628) (-330.17578851682230834,993.95982272840183214) 0 (0.31999099295984584357,-0.022992703545774848678) (0.079467422218117561572,0.9890363237283259501)
9.7148327463897281575 (-320.66194570014226883,-7813.3739315403954606) (-203.57146186104338881,744.07383326622903041) 0 (0.27272798122252200903,-0.16651487808672113533) (0.5261033392485316984,0.84591926267942729734)
9.8690888106537144608 (-345.46474340769145783,-7713.9782163541112823) (-124.28466986408700734,553.58614625543032162) 0 (0.16360928671274768686,-0.27301908803272478821) (0.86197175615586418829,0.50715423968464368176)
10.02401001563689853 (-360.60173898945390647,-7639.8769059466449107) (-75.089831796538504705,409.99360635632086769) 0 (0.016227874315217650364,-0.31663688319865684884) (1.0030544162366994421,0.043496895172032458421)
10.179457071006893898 (-369.7305930337843165,-7584.9010642702924088) (-44.837660245601341558,302.63460616448440987) 0 (-0.13536329389060042239,-0.28535812294244400356) (0.90725549158483842493,-0.4389458941796833269)
10.335313915718899125 (-375.16262693292327413,-7544.2628270248660556) (-26.40176283280625924,222.84561448588578969) 0 (-0.25449086962943767709,-0.18502036068120633616) (0.588747503779681991,-0.82273918506070631285)
10.491486920008819439 (-378.34336075738701766,-7514.3040797411968015) (-15.275211539458865673,163.80484295962190799) 0 (-0.31103316257931218347,-0.038955437049751295842) (0.11879030298124612641,-1.0085174050657577105)
10.647902355916261996 (-380.1681847285348681,-7492.2621273799159098) (-8.6336088705050002545,120.25490763274615347) 0 (-0.2895631738568799074,0.11699794514702578641) (-0.38862006257644821083,-0.94225427144369255927)
10.804503179513709199 (-381.18659025101112547,-7476.0683218114427291) (-4.7212166412283931294,88.204493082108712088) 0 (-0.19417155455689269483,0.24315400878710385912) (-0.80384045111059043709,-0.63270265488357346761)
10.961245792627810403 (-381.73260985823941382,-7464.1834340933537533) (-2.4547406630662766958,64.655522946957859176) 0 (-0.048391352314063322548,0.3062522729031326163) (-1.0151559416061346486,-0.15325200394610480337)
11.118097136240914224 (-382.00722455054562943,-7455.4674295867998808) (-1.1706531716027490653,47.372987283718074991) 0 (0.11013572714895815408,0.28865594797933236126) (-0.96012326770413725097,0.37376240420116957353)
11.275032252614394679 (-382.12994107980989611,-7449.0787631105440596) (-0.46561172128396577374,34.699708706271678693) 0 (0.23917758987184320474,0.19385571582658475687) (-0.64570580862382365162,0.80750092240298232404)
11.432032328097070817 (-382.17080689129653592,-7444.3977298842746677) (-0.096479864141159443758,25.411677233007516463) 0 (0.30327167963593826272,0.046470926543299907741) (-0.15051266744930449915,1.0265232264504082771)
11.58908316758926027 (-382.17013002900267793,-7440.9687795688023471) (0.081882398719995391767,18.607299719125784065) 0 (0.28386061271123524952,-0.11365208701242228428) (0.3930614040574283985,0.9639859319510315494)
11.746174029286983398 (-382.15053402891442147,-7438.4574491781313554) (0.15508886342029576388,13.623760163318825889) 0 (0.18522947629390121294,-0.24198505396172581561) (0.83336777290438568411,0.62974502234448259674)
11.903296746982981347 (-382.12426867964512667,-7436.618394007862662) (0.17287747917815848853,9.9744483602718716497) 0 (0.034239971268191407572,-0.30179420531348483125) (1.0420398532154782067,0.11180782681326351113)
12.060445075129266002 (-382.09760441838363931,-7435.2717537037187867) (0.16356315055491560395,7.3024583877429254386) 0 (-0.12648902288987137754,-0.27504540589517945115) (0.95264617911258642202,-0.44501040398016111777)
12.217614203083604352 (-382.07344618549825555,-7434.2857312246060246) (0.14281295415518335812,5.3461900185333632862) 0 (-0.25038854286189943243,-0.16841594253773500833) (0.5836055486012702298,-0.8787199491280539565)
12.37480039602123405 (-382.05286814860994582,-7433.5637780804509021) (0.11893498680102128351,3.9139860865290216907) 0 (-0.30054512156383289545,-0.012292571294518526287) (0.037177439000236539579,-1.0575878863394685414)
12.532000729810878425 (-382.03599982866035134,-7433.0351817548753388) (0.096038058705632520229,2.8654751051577500576) 0 (-0.26111644185483112723,0.14740314699411380395) (-0.52706335847975949171,-0.92150110031125753718)
12.689212895142862436 (-382.02252625225969496,-7432.648159230841884) (0.075898912344422017617,2.0978684788890564761) 0 (-0.14292903114582336532,0.26253063783398700171) (-0.93807064178057397719,-0.50400958913870119726)
12.84643505247484363 (-382.01196124288844658,-7432.3647930477000045) (0.059050318416014900558,1.5359078302338071698) 0 (0.018842846802719050853,0.29740172839551415329) (-1.065656911458969569,0.073326438076665625965)
13.00366572420171174 (-382.00378949562758635,-7432.1573202081463023) (0.045403433759355932287,1.1244958197151562196) 0 (0.1746901155269496575,0.24030800045130951137) (-0.86326939878688002672,0.6346057003632183946)
13.160903714087799798 (-381.99753438658092364,-7432.0054134624597282) (0.034594651839788562175,0.82329695827684301612) 0 (0.27578587644183250038,0.1080652283800962038) (-0.38682884690342672629,1.0026152972974387012)
13.225802612778926104 (-381.99541267779540021,-7431.9552771312419281) (0.030855395800537900597,0.72389405940716899934) 78 (0.29303792162848452119,0.04061136356676589565) (-0.14216561533980900944,1.0665389139934196017)
